GTIN Code;GTIN Name;GPC Segmentation Code;GPC Brick Code;GPC Class Code;GPC Family Code;GTIN Image;Brand Code;Brand;Brand Image;Brand Link;Brand Owner;Brand Owner Code;Brand Owner Link;Brand Owner Wikipedia Link;Brand Owner Image;GCP Code;GLN Code;Logistical Owner (GLN);GLN Country ISO Code;GLN City;GLN Postal Code;GLN Address2;GLN Address3;GLN Address4;GLN Last Change;GLN Return Code;Number of Units;Package Type Code;Package Type Name;Weight (g);Weight (oz);Volume (ml);Volume (fl oz);Alcohol by Volume;Alcohol by Weight;Registration;Registration Country ISO Code;Ingredients;SERV_SIZE_G;SERV_SIZE_ML;SERV_CT;CAL;CAL_FROM_FAT;TOT_FAT_G;TOT_FAT_DV;SAT_FAT_G;SAT_FAT_DV;TRANS_FAT_G;CHOL_MG;CHOL_DV;SOD_MG;SOD_DV;POT_MG;POT_DV;TOT_CARB_G;TOT_CARB_DV;DIET_FIBER_G;DIET_FIBER_DV;SUGARS_G;PROTEIN_G;VITAMIN_A;VITAMIN_C;CALCIUM;IRON
0039400018841;Black Beans Seasoned Recipe;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400018841.jpg;D13UVY;Bush's best;http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg;http://www.bushbeans.com;;;;;;0039400;0039400000006;Bush Brothers and Company;US;Knoxville;37950;P.O. Box 52330;;TN;;0;1;;;;15.0;;;;;GS1 US;US;;130.0;0.0;1.0;110.0;5.0;0.5;1.0;0.0;0.0;0.0;0.0;0.0;450.0;20.0;490.0;14.0;23.0;8.0;7.0;28.0;1.0;8.0;0;0.0;6.0;15.0
0039400018926;Refried Beans Fat Free;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400018926.jpg;D13UVY;Bush's best;http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg;http://www.bushbeans.com;;;;;;0039400;0039400000006;Bush Brothers and Company;US;Knoxville;37950;P.O. Box 52330;;TN;;0;1;;;454.0;16.0;;;;;GS1 US;US;;125.0;0.0;1.0;130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;480.0;20.0;500.0;14.0;24.0;8.0;7.0;28.0;0.0;9.0;0;0.0;6.0;15.0
0039400019121;Smokehouse Tradition;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400019121.jpg;D13UVY;Bush's best;http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg;http://www.bushbeans.com;;;;;;0039400;0039400000006;Bush Brothers and Company;US;Knoxville;37950;P.O. Box 52330;;TN;;0;1;;;624.0;22.0;;;;;GS1 US;US;;130.0;0.0;1.0;160.0;10.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;570.0;24.0;0.0;0.0;34.0;11.0;5.0;20.0;15.0;7.0;0;0.0;6.0;6.0
0039400019206;Black Bean Fiesta;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400019206.jpg;D13UVY;Bush's best;http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg;http://www.bushbeans.com;;;;;;0039400;0039400000006;Bush Brothers and Company;US;Knoxville;37950;P.O. Box 52330;;TN;;0;1;;;624.0;22.0;;;;;GS1 US;US;;130.0;0.0;1.0;110.0;10.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;570.0;24.0;0.0;0.0;21.0;7.0;5.0;20.0;2.0;5.0;0;0.0;6.0;8.0
0039400019695;Maple Cured Bacon Baked Beans;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400019695.jpg;D13UVY;Bush's best;http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg;http://www.bushbeans.com;;;;;;0039400;0039400000006;Bush Brothers and Company;US;Knoxville;37950;P.O. Box 52330;;TN;;0;1;;;454.0;16.0;;;;;GS1 US;US;;130.0;0.0;1.0;140.0;10.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;620.0;26.0;0.0;0.0;28.0;9.0;5.0;20.0;11.0;6.0;0;2.0;6.0;10.0
0039400019725;Country Style Baked Beans;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400019725.jpg;D13UVY;Bush's best;http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg;http://www.bushbeans.com;;;;;;0039400;0039400000006;Bush Brothers and Company;US;Knoxville;37950;P.O. Box 52330;;TN;;0;1;;;454.0;16.0;;;;;GS1 US;US;;130.0;0.0;1.0;160.0;10.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;680.0;28.0;0.0;0.0;33.0;11.0;5.0;20.0;16.0;6.0;0;0.0;4.0;10.0
0045587520107;Apricot Nectar;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-004/0045587520107.jpg;FCKJ3R;Looza;http://product.okfn.org.s3.amazonaws.com/images/brand/FCKJ3R.jpg;http://www.looza.be;Pepsico;000012;http://www.pepsico.com;http://en.wikipedia.org/wiki/Pepsico;http://product.okfn.org.s3.amazonaws.com/images/group/000012.jpg;0045587;0045587000005;Frito-Lay Trading Company GmbH;CH;Ch 3011 Bern;;Spitalgasse 2;;;;0;1;;;;;;33.8;;;GS1 US;US;WATER,APRICOT PUREE CONCENTRATE,SUGAR,ASCORBIC ACD (TO PROTECT FLAVOR);240.0;0.0;4.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;35.0;12.0;2.0;8.0;35.0;0.0;0;0.0;0.0;0.0
0045587533107;Peach Nectar;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-004/0045587533107.jpg;FCKJ3R;Looza;http://product.okfn.org.s3.amazonaws.com/images/brand/FCKJ3R.jpg;http://www.looza.be;Pepsico;000012;http://www.pepsico.com;http://en.wikipedia.org/wiki/Pepsico;http://product.okfn.org.s3.amazonaws.com/images/group/000012.jpg;0045587;0045587000005;Frito-Lay Trading Company GmbH;CH;Ch 3011 Bern;;Spitalgasse 2;;;;0;1;;;;;;33.8;;;GS1 US;US;WATER,PEACH PUREE CONCENTRATE,SUGAR,ASCORBIC ACID (TO PROTECT FLAVOR);0.0;240.0;4.0;160.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;38.0;13.0;2.0;7.0;38.0;0.0;0;0.0;0.0;0.0
0045587547104;Mango Nectar;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-004/0045587547104.jpg;FCKJ3R;Looza;http://product.okfn.org.s3.amazonaws.com/images/brand/FCKJ3R.jpg;http://www.looza.be;Pepsico;000012;http://www.pepsico.com;http://en.wikipedia.org/wiki/Pepsico;http://product.okfn.org.s3.amazonaws.com/images/group/000012.jpg;0045587;0045587000005;Frito-Lay Trading Company GmbH;CH;Ch 3011 Bern;;Spitalgasse 2;;;;0;1;;;;;;33.8;;;GS1 US;US;WATER,MANGO PUREE CONCENTRATE,SUGAR;0.0;240.0;4.0;130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;30.0;10.0;1.0;4.0;30.0;0.0;0;0.0;0.0;0.0
0073410013540;Oat Bran;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-007/0073410013540.jpg;R1TS5M;Arnold;http://product.okfn.org.s3.amazonaws.com/images/brand/R1TS5M.jpg;http://www.arnoldbread.com;;;;;;0073410;0071330000008;Orograin Bakeries Manufacturing, Inc.;US;Horsham;19044;255 Business Center Dr;;PA;;0;1;;;680.0;24.0;;;;;GS1 US;US;UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR,MALTED BARLEY FLOUR,REDUCED IRON,NIACIN,THIAMIN MONONITRATE (VITAMIN B1),RIBOFLAVIN (VITAMIN B2),FOLIC ACID],WATER,SUGAR,OAT BRAN,OATS,WHEAT GLUTEN,SOYBEAN OIL,YEAST,SALT,MOLASSES,MONOGLYCERIDES,CALCIUM PROPIONATE (PRESERVATIVE),CALCIUM CARBONATE,NATURAL FLAVOR,CALCIUM SULFATE,DATEM,GRAIN VINEGAR,CITRIC ACID,SOY LECITHIN,NUTS [WALNUTS AND/OR HAZELNUTS (FILBERTS) AND/OR ALMONDS],WHEY,SOY FLOUR,NONFAT MILK;43.0;0.0;16.0;110.0;15.0;1.5;2.0;0.0;0.0;0.0;0.0;0.0;150.0;6.0;0.0;0.0;20.0;7.0;1.0;4.0;3.0;4.0;0;0.0;8.0;8.0
